PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Q8BGS1;Q8BGS1-2;Q8BGS1-3,41.55841064,20.4982605,41.73292542,38.62630081,31.44821548,23.80250549,26.34865379,Filtered
Q8BGS2,11.58818436,20.05339813,13.68480682,17.63168716,12.4408617,19.116642,8.677850723,Filtered
Q8BGT7,3.097090006,5.289862156,3.379069328,6.688984394,NaN,5.638690472,NaN,Filtered
Q8BGV0,4.914679527,2.892134428,5.119328976,4.080061436,3.973288536,Filtered,3.883095503,Filtered
Q8BGV3,Filtered,17.78628159,2.468504429,12.55469894,5.840856075,10.76794529,2.50332284,Filtered
Q8BH00,142.6461945,94.16227722,161.1329193,27.28845787,153.1932068,71.5319519,141.2926941,Filtered
Q8BH24,29.31811905,40.81280136,27.1111393,47.77356339,29.55139732,51.64149094,28.34360123,Filtered
Q8BH35,4.044433117,6.506819725,7.266419888,47.86642075,3.754241943,7.18507576,3.775596142,Filtered
Q8BH43,28.55402374,46.24113464,19.59015274,43.60606384,19.22075272,25.03815842,23.18700218,Filtered
Q8BH58,18.01290512,7.036280155,14.8909874,19.82097816,13.00797558,10.04324532,14.24914265,Filtered
Q8BH59,361.5146179,168.5635986,442.2441101,227.9834442,364.3716736,165.193512,352.0335693,581.6377563
Q8BH61,38.698246,56.17365646,9.362201691,527.0852661,12.06668663,80.61004639,72.02285767,Filtered
